
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0272                          U1                                 1   1     26  26   1 61         61 0 BUZZER              (4112-16-13)
40-0272                          U1                                 1   1     27  27   1 62         62 0 XSIG020295          (4112-15-13)
40-0272                          U1                                 1   1     28  28   1 29         29 0 UART_TX             (4112-2-13)
40-0272                          U1                                 1   1     29  29   1 33         33 0 WAKE                (4112-6-13)
40-0272                          U1                                 1   1     30  30   1 34         34 0 UART_CTS            (4112-5-13)
40-0272                          U1                                 1   1     31  31   1 35         35 0 UART_RTS            (4112-4-13)
40-0272                          U1                                 1   1     32  32   1 36         36 0 JOYSTICK_1          (4076-39-13)
40-0272                          U1                                 1   1     33  33   1 8           8 0 LED_R               (4076-42-13)
40-0272                          U1                                 1   1     34  34   1 9           9 0 LED_G               (4076-43-13)
40-0272                          U1                                 1   1     35  35   1 10         10 0 LED_B               (4076-44-13)
40-0272                          U1                                 1   1     36  36   1 11         11 0 PC3                 (4076-52-13)
40-0272                          U1                                 1   1     37  37   1 24         24 0 PC4                 (4076-56-13)
40-0272                          U1                                 1   1     38  38   1 25         25 0 UART_RX             (4112-3-13)
40-0272                          U1                                 1   1     39  39   1 37         37 0 JOYSTICK_2          (4076-40-13)
40-0272                          U1                                 1   1     40  40   1 38         38 0 JOYSTICK_3          (4076-41-13)
40-0272                          U1                                 1   1     41  41   1 39         39 0 SD_D0               (4076-30-13)
40-0272                          U1                                 1   1     42  42   1 40         40 0 JOYSTICK_4          (4112-13-13)
40-0272                          U1                                 1   1     43  43   1 51         51 0 PC10                (4112-14-13)
40-0272                          U1                                 1   1     44  44   1 52         52 0 SD_D3               (4076-31-13)
40-0272                          U1                                 1   1     45  45   1 53         53 0 SD_SCK              (4076-32-13)
40-0272                          U1                                 1   1     46  46   1 2           2 0 PC13                (4076-60-13)
40-0272                          U1                                 1   1     47  47   1 3           3 0 PC14                (4076-62-13)
40-0272                          U1                                 1   1     48  48   1 4           4 0 PC15                (4076-61-13)
40-0272                          U1                                 1   1     49  49   1 54         54 0 SD_CMD              (4076-33-13)
40-0272                          U1                                 1   1     50  50   1 5           5 0 OSC_IN              (4076-66-13)
40-0272                          U1                                 1   1     51  51   1 6           6 0 OSC_OUT             (4076-65-13)
40-0272                          U1                                 1   1     52  52   1 7           7 0 RSTn                (4076-7-13)
40-0272                          U1                                 1   1     53  53   1 1           1 0 VCC                 (43-2-13)
40-0272                          U1                                 1   1     54  54   1 30         30 0 XSIG020194          (4076-67-13)
40-0272                          U1                                 1   1     55  55   1 13         13 0 VCC                 (43-2-13)
